now_time,predict_time,id,lon,lat,10UV
2015-10-08 08:00:00,2015-10-08 20:00:00,46735,119.555,23.567,8.021794946057327
2015-10-09 08:00:00,2015-10-09 20:00:00,46735,119.555,23.567,12.341877970322079
2015-10-10 08:00:00,2015-10-10 20:00:00,46735,119.555,23.567,13.053011326888539
2015-10-11 08:00:00,2015-10-11 20:00:00,46735,119.555,23.567,13.239181259133561
2015-10-12 08:00:00,2015-10-12 20:00:00,46735,119.555,23.567,12.199160118916446
2015-10-13 08:00:00,2015-10-13 20:00:00,46735,119.555,23.567,12.960625298398925
2015-10-14 08:00:00,2015-10-14 20:00:00,46735,119.555,23.567,12.412263488582303
2015-10-15 08:00:00,2015-10-15 20:00:00,46735,119.555,23.567,14.007751493762006
2015-10-16 08:00:00,2015-10-16 20:00:00,46735,119.555,23.567,15.13677205283586
2015-10-17 08:00:00,2015-10-17 20:00:00,46735,119.555,23.567,15.1484068547677
2015-10-18 08:00:00,2015-10-18 20:00:00,46735,119.555,23.567,14.862760082061794
2015-10-19 08:00:00,2015-10-19 20:00:00,46735,119.555,23.567,13.581091785726366
2015-10-20 08:00:00,2015-10-20 20:00:00,46735,119.555,23.567,12.535840827597266
2015-10-21 08:00:00,2015-10-21 20:00:00,46735,119.555,23.567,13.25842616615667
2015-10-22 08:00:00,2015-10-22 20:00:00,46735,119.555,23.567,14.169173485505445
2015-10-23 08:00:00,2015-10-23 20:00:00,46735,119.555,23.567,12.105251458515596
2015-10-24 08:00:00,2015-10-24 20:00:00,46735,119.555,23.567,10.980030417962482
2015-10-25 08:00:00,2015-10-25 20:00:00,46735,119.555,23.567,9.192363158331627
2015-10-26 08:00:00,2015-10-26 20:00:00,46735,119.555,23.567,3.963919971314321
2015-10-27 08:00:00,2015-10-27 20:00:00,46735,119.555,23.567,7.116182610197503
2015-10-28 08:00:00,2015-10-28 20:00:00,46735,119.555,23.567,6.695927844411767
2015-10-29 08:00:00,2015-10-29 20:00:00,46735,119.555,23.567,2.7812143048547773
2015-10-30 08:00:00,2015-10-30 20:00:00,46735,119.555,23.567,13.321820998541279
2015-10-31 08:00:00,2015-10-31 20:00:00,46735,119.555,23.567,13.390036072768051
2015-11-01 08:00:00,2015-11-01 20:00:00,46735,119.555,23.567,13.848413010275635
2015-11-02 08:00:00,2015-11-02 20:00:00,46735,119.555,23.567,13.789500061660318
2015-11-03 08:00:00,2015-11-03 20:00:00,46735,119.555,23.567,13.048048519020133
2015-11-04 08:00:00,2015-11-04 20:00:00,46735,119.555,23.567,8.237274192953299
2015-11-05 08:00:00,2015-11-05 20:00:00,46735,119.555,23.567,6.1017609972957585
2015-11-07 08:00:00,2015-11-07 20:00:00,46735,119.555,23.567,3.7515348029165065
2015-11-08 08:00:00,2015-11-08 20:00:00,46735,119.555,23.567,6.114926332488563
2015-11-09 08:00:00,2015-11-09 20:00:00,46735,119.555,23.567,14.329428050447305
2015-11-10 08:00:00,2015-11-10 20:00:00,46735,119.555,23.567,13.300566401385437
2015-11-11 08:00:00,2015-11-11 20:00:00,46735,119.555,23.567,12.56934382178618
2015-11-12 08:00:00,2015-11-12 20:00:00,46735,119.555,23.567,7.721699813967452
2015-11-13 08:00:00,2015-11-13 20:00:00,46735,119.555,23.567,6.807908367115964
